,Sql,Comp
514,SELECT Summary from PaperID_Summary WHERE PaperID = 'D14-1121' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'D14-1121' 
115,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3650',SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3650'
1177,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Audhk%';,"SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Roseacuten, Vict%';"
1094,SELECT AuthID FROM AuthID_Name WHERE Name='Gr';,SELECT AuthID FROM AuthID_Name WHERE Name='So';
806,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Chicago,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Neuchatel
1296,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W14-3108';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W14-3108';
32,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16211',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16211'
1023,SELECT Name FROM AuthID_Name WHERE AuthID='A-655';,SELECT Name FROM AuthID_Name WHERE AuthID='A-655';
1346,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W0%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W9%' ;
1483,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1965;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1969;
1333,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-493,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-493
575,SELECT PaperID FROM PaperID_Title WHERE Title = 'Unsupervised Learning Of Morphology Without Morphemes',SELECT PaperID FROM PaperID_Title WHERE Title = 'An Unsupervised Learning Method For Associative Relationships Between Verb Phrases'
1649,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-984;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-984;
366,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-1064',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-1064'
1660,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-4171;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-4171;
251,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-1035' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-1035' 
244,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-2018' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-2018' 
1088,SELECT AuthID FROM AuthID_Name WHERE Name='Yasuha';,"SELECT AuthID FROM AuthID_Name WHERE Name='Izumida,';"
1433,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C%' ;,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-%' ;
782,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Beijing Normal University,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Tsukuba
857,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-258',SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-258'
1365,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D13-1%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D14-1%' ;
1273,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D09-1048';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D09-1048';
59,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15162',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15162'
626,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Distrib%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Sublanguag%'
69,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5769',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5769'
220,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-3007' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-3007' 
1313,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-392,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-392
926,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-1',SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-1'
607,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Using Clustering to Improve Retrieval Evaluation without Re%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Multi-Relational Latent Semantic %'
1634,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-2;,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-2;
1347,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W07-1%' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'H05-1%' ;
777,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-76'","SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-76'"
1217,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-66' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-66' ;
1220,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-442' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-442' ;
471,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1071' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1071' 
1055,"SELECT AuthID FROM AuthID_Name WHERE Name='Blanchon, Herv';","SELECT AuthID FROM AuthID_Name WHERE Name='Herviou, Marie Luce';"
1283,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P14-1066';,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P14-1066';
1110,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Carl%';,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Ka%';
715,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Computer%'","SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Open%'"
78,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12511',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12511'
1133,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'B%';,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Ish%';
450,SELECT Summary from PaperID_Summary WHERE PaperID = 'W97-0310' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'W97-0310' 
807,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'IBM Corp,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'GE Aerospace
1192,"SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Bajec, M%';","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Kovaleva, A%';"
1614,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the NAACL NAACL 2010 Second Workshop on Computational Approaches to Linguistic Creativity;,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the NAACL HLT 2010 Sixth Web as Corpus Workshop AND Year=Year;
1559,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>2014;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<2013;
1619,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the ACL 2009 Workshop on Computational Linguistic Aspects of Grammatical Inference AND Year=Year;,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the Tenth Meeting of ACL Special Interest Group on Computational Morphology and Phonology AND Year=Year;
937,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1591 ORDER BY Count(AuthID) ASC ","SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1961 ORDER BY Count(AuthID) ASC "
637,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'User-Friendly Text Pre%',SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Crawling microblogging services to gather language-classified URLs%'
462,SELECT Summary from PaperID_Summary WHERE PaperID = 'W14-4316' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'W14-4316' 
989,SELECT Name FROM AuthID_Name WHERE AuthID='A-16125';,SELECT Name FROM AuthID_Name WHERE AuthID='A-16125';
173,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-1215' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-1215' 
1226,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-49' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-49' ;
298,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-13' ,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-13' 
420,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W01-1016',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W01-1016'
820,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-604',SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-604'
745,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Academy%',SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Uiduk%'
124,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1591',SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1591'
535,SELECT Title FROM PaperID_Title WHERE PaperID = 'C82-1039',SELECT Title FROM PaperID_Title WHERE PaperID = 'C82-1039'
259,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P14-2009' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P14-2009' 
650,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Athens GA%',SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%The Syriac Institute%'
1661,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-5430;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-5430;
416,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P80-1040',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P80-1040'
1163,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Michel%';,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Wan%';
188,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'T87-1016' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'T87-1016' 
952,SELECT Name FROM AuthID_Name WHERE AuthID='A-301';,SELECT Name FROM AuthID_Name WHERE AuthID='A-301';
1601,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Applications AND Year=Year;,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Coreference And Its Applications AND Year=Year;
988,SELECT Name FROM AuthID_Name WHERE AuthID='A-14892';,SELECT Name FROM AuthID_Name WHERE AuthID='A-14892';
493,SELECT Summary from PaperID_Summary WHERE PaperID = 'P03-2030' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'P03-2030' 
271,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W08-0707' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W08-0707' 
162,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W99-0201' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W99-0201' 
1084,"SELECT AuthID FROM AuthID_Name WHERE Name='Cooper, ';","SELECT AuthID FROM AuthID_Name WHERE Name='GarciaSerrano, ';"
1234,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-168' ;,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-168' ;
727,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Naval%',SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Technology%'
425,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W08-1307',SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W08-1307'
1456,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of SRSL 2009 the 2nd Workshop on Semantic Representation of Spoken Language;,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the 2010 Workshop on Applications of Tree Automata in Natural Language Processing;
1670,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-756;,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-756;
829,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-673',SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-673'
73,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1845',SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1845'
109,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-6140',SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-6140'
270,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P98-1042' ,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P98-1042' 
486,SELECT Summary from PaperID_Summary WHERE PaperID = 'W08-1136' ,SELECT Summary from PaperID_Summary WHERE PaperID = 'W08-1136' 
350,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'J94-1003',SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'J94-1003'
237,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C82-1035' ,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C82-1035' 
