,Natural,SQL
94,How many papers are written by A-11010?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11010'
95,How many papers are written by A-14374?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-14374'
96,How many papers are written by A-7441?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-7441'
97,How many papers are written by A-11007?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11007'
98,How many papers are written by A-10557?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-10557'
99,How many papers are written by A-8942?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-8942'
100,How many papers are written by A-11557?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11557'
101,How many papers are written by A-15582?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-15582'
102,How many papers are written by A-11153?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11153'
103,How many papers are written by A-1687?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1687'
104,How many papers are written by A-16777?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-16777'
105,How many papers are written by A-2746?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-2746'
106,How many papers are written by A-9197?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-9197'
107,How many papers are written by A-2364?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-2364'
108,How many papers are written by A-10274?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-10274'
109,How many papers are written by A-5080?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-5080'
110,How many papers are written by A-6140?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-6140'
111,How many papers are written by A-16586?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-16586'
112,How many papers are written by A-18651?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-18651'
113,How many papers are written by A-14453?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-14453'
114,How many papers are written by A-1379?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1379'
115,How many papers are written by A-6190?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-6190'
116,How many papers are written by A-3650?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3650'
117,How many papers are written by A-7513?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-7513'
118,How many papers are written by A-12180?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12180'
119,How many papers are written by A-5083?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-5083'
120,How many papers are written by A-7717?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-7717'
121,How many papers are written by A-13430?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-13430'
122,How many papers are written by A-13701?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-13701'
123,How many papers are written by A-17439?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-17439'
124,How many papers are written by A-13725?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-13725'
125,How many papers are written by A-1591?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1591'
126,How many papers are written by A-8233?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-8233'
127,How many papers are written by A-428?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-428'
128,How many papers are written by A-12916?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12916'
129,How many papers are written by A-17086?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-17086'
130,How many papers are written by A-2429?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-2429'
131,How many papers are written by A-10475?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-10475'
132,How many papers are written by A-13012?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-13012'
133,How many papers are written by A-4450?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-4450'
134,How many papers are written by A-8172?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-8172'
135,How many papers are written by A-9648?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-9648'
136,How many papers are written by A-12341?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12341'
137,List all the authors who contributed to paper P15-2069,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P15-2069' 
138,List all the authors who contributed to paper W04-1010,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W04-1010' 
139,List all the authors who contributed to paper W11-0202,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-0202' 
140,List all the authors who contributed to paper C14-2028,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C14-2028' 
141,List all the authors who contributed to paper W02-0503,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W02-0503' 
142,List all the authors who contributed to paper W12-2906,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W12-2906' 
143,List all the authors who contributed to paper D11-1025,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D11-1025' 
144,List all the authors who contributed to paper P06-2061,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P06-2061' 
145,List all the authors who contributed to paper W01-1408,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W01-1408' 
146,List all the authors who contributed to paper H05-1056,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H05-1056' 
147,List all the authors who contributed to paper W00-0504,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W00-0504' 
148,List all the authors who contributed to paper H01-1072,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H01-1072' 
149,List all the authors who contributed to paper W97-1014,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W97-1014' 
150,List all the authors who contributed to paper N07-4001,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N07-4001' 
151,List all the authors who contributed to paper W06-1417,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W06-1417' 
152,List all the authors who contributed to paper I05-2008,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'I05-2008' 
153,List all the authors who contributed to paper W14-4603,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W14-4603' 
154,List all the authors who contributed to paper M92-1035,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'M92-1035' 
155,List all the authors who contributed to paper P01-1015,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P01-1015' 
156,List all the authors who contributed to paper P09-4007,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P09-4007' 
157,List all the authors who contributed to paper P14-1037,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P14-1037' 
158,List all the authors who contributed to paper W14-3415,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W14-3415' 
159,List all the authors who contributed to paper P98-1010,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P98-1010' 
160,List all the authors who contributed to paper P03-2038,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P03-2038' 
161,List all the authors who contributed to paper P84-1100,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P84-1100' 
162,List all the authors who contributed to paper N04-1029,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N04-1029' 
163,List all the authors who contributed to paper W99-0201,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W99-0201' 
164,List all the authors who contributed to paper P04-3015,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P04-3015' 
165,List all the authors who contributed to paper W10-1729,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W10-1729' 
166,List all the authors who contributed to paper P86-1036,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P86-1036' 
167,List all the authors who contributed to paper P06-3002,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P06-3002' 
168,List all the authors who contributed to paper D14-1059,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D14-1059' 
169,List all the authors who contributed to paper W00-1402,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W00-1402' 
170,List all the authors who contributed to paper W11-2153,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-2153' 
171,List all the authors who contributed to paper N09-1013,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-1013' 
172,List all the authors who contributed to paper D13-1176,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D13-1176' 
173,List all the authors who contributed to paper A92-1034,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'A92-1034' 
174,List all the authors who contributed to paper W11-1215,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-1215' 
175,List all the authors who contributed to paper C10-1036,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-1036' 
176,List all the authors who contributed to paper A00-2036,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'A00-2036' 
177,How many authors contributed to paper C86-1032,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C86-1032' 
178,How many authors contributed to paper W12-3140,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W12-3140' 
179,How many authors contributed to paper C86-1038,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C86-1038' 
180,How many authors contributed to paper P10-3012,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P10-3012' 
181,How many authors contributed to paper C08-1116,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C08-1116' 
182,How many authors contributed to paper W11-0128,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W11-0128' 
183,How many authors contributed to paper N13-1108,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N13-1108' 
184,How many authors contributed to paper W14-0906,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W14-0906' 
185,How many authors contributed to paper P06-2024,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P06-2024' 
186,How many authors contributed to paper W03-2809,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W03-2809' 
187,How many authors contributed to paper H05-1010,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H05-1010' 
188,How many authors contributed to paper P10-1144,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P10-1144' 
189,How many authors contributed to paper T87-1016,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'T87-1016' 
190,How many authors contributed to paper P11-1007,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P11-1007' 
191,How many authors contributed to paper S14-1016,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'S14-1016' 
192,How many authors contributed to paper N10-2008,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N10-2008' 
193,How many authors contributed to paper E12-1052,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'E12-1052' 
194,How many authors contributed to paper W09-1410,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W09-1410' 
195,How many authors contributed to paper W14-6205,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W14-6205' 
196,How many authors contributed to paper H89-1025,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H89-1025' 
197,How many authors contributed to paper C02-1107,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C02-1107' 
198,How many authors contributed to paper W13-4051,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W13-4051' 
199,How many authors contributed to paper P13-1096,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P13-1096' 
200,How many authors contributed to paper P06-2028,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P06-2028' 
201,How many authors contributed to paper P09-2053,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P09-2053' 
202,How many authors contributed to paper C10-3003,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C10-3003' 
203,How many authors contributed to paper W11-2029,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W11-2029' 
204,How many authors contributed to paper W08-0311,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W08-0311' 
205,How many authors contributed to paper C86-1053,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C86-1053' 
206,How many authors contributed to paper W06-3918,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W06-3918' 
207,How many authors contributed to paper W97-1509,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W97-1509' 
208,How many authors contributed to paper H91-1042,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H91-1042' 
209,How many authors contributed to paper C96-2203,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C96-2203' 
210,How many authors contributed to paper D07-1128,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'D07-1128' 
211,How many authors contributed to paper W97-0314,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W97-0314' 
212,How many authors contributed to paper J96-3005,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'J96-3005' 
213,How many authors contributed to paper P09-1058,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P09-1058' 
214,How many authors contributed to paper P13-2142,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P13-2142' 
215,How many authors contributed to paper W06-1624,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W06-1624' 
216,How many authors contributed to paper N15-3012,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N15-3012' 
217,List all the authors for W08-1601,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W08-1601' 
218,List all the authors for W97-0108,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W97-0108' 
219,List all the authors for S13-2014,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S13-2014' 
220,List all the authors for W98-0716,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W98-0716' 
221,List all the authors for P12-3007,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-3007' 
222,List all the authors for S12-1071,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S12-1071' 
223,List all the authors for W07-2066,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W07-2066' 
224,List all the authors for C14-1013,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C14-1013' 
225,List all the authors for W13-3401,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-3401' 
226,List all the authors for E95-1039,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'E95-1039' 
227,List all the authors for C92-4195,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C92-4195' 
228,List all the authors for W11-0907,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-0907' 
229,List all the authors for D13-1022,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D13-1022' 
230,List all the authors for D11-1126,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D11-1126' 
231,List all the authors for P09-1042,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P09-1042' 
232,List all the authors for C08-1127,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C08-1127' 
233,List all the authors for S13-2060,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S13-2060' 
234,List all the authors for N04-1019,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N04-1019' 
235,List all the authors for P09-2004,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P09-2004' 
236,List all the authors for W13-4016,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-4016' 
237,List all the authors for W04-3111,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W04-3111' 
238,List all the authors for C82-1035,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C82-1035' 
239,List all the authors for W14-0506,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W14-0506' 
240,List all the authors for W03-1116,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W03-1116' 
241,List all the authors for P82-1005,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P82-1005' 
242,List all the authors for A83-1030,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'A83-1030' 
243,List all the authors for D09-1157,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D09-1157' 
244,List all the authors for W04-2612,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W04-2612' 
