,Natural,SQL
26,What is the Name of the Author with ID A-4245 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-4245';
27,What is the Name of the Author with ID A-505 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-505';
28,What is the Name of the Author with ID A-15517 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-15517';
29,What is the Name of the Author with ID A-6815 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-6815';
30,What is the Name of the Author with ID A-4985 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-4985';
31,What is the Name of the Author with ID A-18286 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-18286';
32,What is the Name of the Author with ID A-13261 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-13261';
33,What is the Name of the Author with ID A-2051 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2051';
34,What is the Name of the Author with ID A-4295 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-4295';
35,What is the Name of the Author with ID A-17049 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-17049';
36,What is the Name of the Author with ID A-650 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-650';
37,Name the author whose ID is A-13335,SELECT Name FROM AuthID_Name WHERE AuthID='A-13335';
38,Name the author whose ID is A-11581,SELECT Name FROM AuthID_Name WHERE AuthID='A-11581';
39,Name the author whose ID is A-17801,SELECT Name FROM AuthID_Name WHERE AuthID='A-17801';
40,Name the author whose ID is A-17355,SELECT Name FROM AuthID_Name WHERE AuthID='A-17355';
41,Name the author whose ID is A-2959,SELECT Name FROM AuthID_Name WHERE AuthID='A-2959';
42,Name the author whose ID is A-7802,SELECT Name FROM AuthID_Name WHERE AuthID='A-7802';
43,Name the author whose ID is A-18534,SELECT Name FROM AuthID_Name WHERE AuthID='A-18534';
44,Name the author whose ID is A-17116,SELECT Name FROM AuthID_Name WHERE AuthID='A-17116';
45,Name the author whose ID is A-8048,SELECT Name FROM AuthID_Name WHERE AuthID='A-8048';
46,Name the author whose ID is A-3799,SELECT Name FROM AuthID_Name WHERE AuthID='A-3799';
47,Name the author whose ID is A-8969,SELECT Name FROM AuthID_Name WHERE AuthID='A-8969';
48,Name the author whose ID is A-7078,SELECT Name FROM AuthID_Name WHERE AuthID='A-7078';
49,Name the author whose ID is A-12256,SELECT Name FROM AuthID_Name WHERE AuthID='A-12256';
50,Name the author whose ID is A-738,SELECT Name FROM AuthID_Name WHERE AuthID='A-738';
51,Name the author whose ID is A-5821,SELECT Name FROM AuthID_Name WHERE AuthID='A-5821';
52,Name the author whose ID is A-9220,SELECT Name FROM AuthID_Name WHERE AuthID='A-9220';
53,Name the author whose ID is A-4447,SELECT Name FROM AuthID_Name WHERE AuthID='A-4447';
54,Name the author whose ID is A-10739,SELECT Name FROM AuthID_Name WHERE AuthID='A-10739';
55,Name the author whose ID is A-87,SELECT Name FROM AuthID_Name WHERE AuthID='A-87';
56,Name the author whose ID is A-9668,SELECT Name FROM AuthID_Name WHERE AuthID='A-9668';
57,Name the author whose ID is A-5814,SELECT Name FROM AuthID_Name WHERE AuthID='A-5814';
58,Name the author whose ID is A-211,SELECT Name FROM AuthID_Name WHERE AuthID='A-211';
59,Name the author whose ID is A-2166,SELECT Name FROM AuthID_Name WHERE AuthID='A-2166';
60,Name the author whose ID is A-661,SELECT Name FROM AuthID_Name WHERE AuthID='A-661';
61,Name the author whose ID is A-11690,SELECT Name FROM AuthID_Name WHERE AuthID='A-11690';
62,Name the author whose ID is A-5873,SELECT Name FROM AuthID_Name WHERE AuthID='A-5873';
63,Name the author whose ID is A-17507,SELECT Name FROM AuthID_Name WHERE AuthID='A-17507';
64,Name the author whose ID is A-17631,SELECT Name FROM AuthID_Name WHERE AuthID='A-17631';
65,Name the author whose ID is A-17600,SELECT Name FROM AuthID_Name WHERE AuthID='A-17600';
66,Name the author whose ID is A-4391,SELECT Name FROM AuthID_Name WHERE AuthID='A-4391';
67,Name the author whose ID is A-11523,SELECT Name FROM AuthID_Name WHERE AuthID='A-11523';
68,Name the author whose ID is A-7769,SELECT Name FROM AuthID_Name WHERE AuthID='A-7769';
69,Name the author whose ID is A-16540,SELECT Name FROM AuthID_Name WHERE AuthID='A-16540';
70,Name the author whose ID is A-11264,SELECT Name FROM AuthID_Name WHERE AuthID='A-11264';
71,Name the author whose ID is A-6370,SELECT Name FROM AuthID_Name WHERE AuthID='A-6370';
72,Name the author whose ID is A-11843,SELECT Name FROM AuthID_Name WHERE AuthID='A-11843';
73,Name the author whose ID is A-17430,SELECT Name FROM AuthID_Name WHERE AuthID='A-17430';
74,"What is the ID of the Author whose name is Federico, Marcello ?","SELECT AuthID FROM AuthID_Name WHERE Name='Federico, Marcello';"
75,"What is the ID of the Author whose name is Chen, Yin ?","SELECT AuthID FROM AuthID_Name WHERE Name='Chen, Yin';"
76,"What is the ID of the Author whose name is Quan, Li ?","SELECT AuthID FROM AuthID_Name WHERE Name='Quan, Li';"
77,"What is the ID of the Author whose name is Lozano, Carmen ?","SELECT AuthID FROM AuthID_Name WHERE Name='Lozano, Carmen';"
78,"What is the ID of the Author whose name is Ljunglof, Peter ?","SELECT AuthID FROM AuthID_Name WHERE Name='Ljunglof, Peter';"
79,"What is the ID of the Author whose name is Abrusci, V Michele ?","SELECT AuthID FROM AuthID_Name WHERE Name='Abrusci, V Michele';"
80,"What is the ID of the Author whose name is Klein, Judith ?","SELECT AuthID FROM AuthID_Name WHERE Name='Klein, Judith';"
81,"What is the ID of the Author whose name is Elhadad, NoAAcmie ?","SELECT AuthID FROM AuthID_Name WHERE Name='Elhadad, NoAAcmie';"
82,"What is the ID of the Author whose name is Wang, Anruo ?","SELECT AuthID FROM AuthID_Name WHERE Name='Wang, Anruo';"
83,"What is the ID of the Author whose name is Tinkham, Nancy L ?","SELECT AuthID FROM AuthID_Name WHERE Name='Tinkham, Nancy L';"
84,"What is the ID of the Author whose name is Luo, Airong ?","SELECT AuthID FROM AuthID_Name WHERE Name='Luo, Airong';"
85,"What is the ID of the Author whose name is Issac, Fabrice ?","SELECT AuthID FROM AuthID_Name WHERE Name='Issac, Fabrice';"
86,What is the ID of the Author whose name is Stckel Andreas ?,SELECT AuthID FROM AuthID_Name WHERE Name='Stckel Andreas';
87,"What is the ID of the Author whose name is Yamashina, Masaki ?","SELECT AuthID FROM AuthID_Name WHERE Name='Yamashina, Masaki';"
88,"What is the ID of the Author whose name is Hernaacutendez H, Adolfo ?","SELECT AuthID FROM AuthID_Name WHERE Name='Hernaacutendez H, Adolfo';"
89,"What is the ID of the Author whose name is Kim, Myunghee ?","SELECT AuthID FROM AuthID_Name WHERE Name='Kim, Myunghee';"
90,"What is the ID of the Author whose name is Howlett, Susan ?","SELECT AuthID FROM AuthID_Name WHERE Name='Howlett, Susan';"
91,"What is the ID of the Author whose name is Zhou, Deyu ?","SELECT AuthID FROM AuthID_Name WHERE Name='Zhou, Deyu';"
92,"What is the ID of the Author whose name is Adams, Jeff ?","SELECT AuthID FROM AuthID_Name WHERE Name='Adams, Jeff';"
93,"What is the ID of the Author whose name is Maji, Hemanta K ?","SELECT AuthID FROM AuthID_Name WHERE Name='Maji, Hemanta K';"
94,"What is the ID of the Author whose name is Monteil, MarieGaelle ?","SELECT AuthID FROM AuthID_Name WHERE Name='Monteil, MarieGaelle';"
95,"What is the ID of the Author whose name is Entwisle, J ?","SELECT AuthID FROM AuthID_Name WHERE Name='Entwisle, J';"
96,"What is the ID of the Author whose name is Balfourier, JeanMarie ?","SELECT AuthID FROM AuthID_Name WHERE Name='Balfourier, JeanMarie';"
97,"What is the ID of the Author whose name is Hwang, Seungwon ?","SELECT AuthID FROM AuthID_Name WHERE Name='Hwang, Seungwon';"
98,"What is the ID of the Author whose name is Macks, Aaron ?","SELECT AuthID FROM AuthID_Name WHERE Name='Macks, Aaron';"
99,"What is the ID of the Author whose name is MariAo, JosAc ?","SELECT AuthID FROM AuthID_Name WHERE Name='MariAo, JosAc';"
100,"What is the ID of the Author whose name is Tong, Richard M ?","SELECT AuthID FROM AuthID_Name WHERE Name='Tong, Richard M';"
101,"What is the ID of the Author whose name is Coppen, PeterArno ?","SELECT AuthID FROM AuthID_Name WHERE Name='Coppen, PeterArno';"
102,"What is the ID of the Author whose name is Wang, Adrienne ?","SELECT AuthID FROM AuthID_Name WHERE Name='Wang, Adrienne';"
103,"What is the ID of the Author whose name is Kurella, Svitlana ?","SELECT AuthID FROM AuthID_Name WHERE Name='Kurella, Svitlana';"
104,"What is the ID of the Author whose name is Currier, Patricia A ?","SELECT AuthID FROM AuthID_Name WHERE Name='Currier, Patricia A';"
105,"What is the ID of the Author whose name is Dost, Ascander ?","SELECT AuthID FROM AuthID_Name WHERE Name='Dost, Ascander';"
106,"What is the ID of the Author whose name is Podvesky, Petr ?","SELECT AuthID FROM AuthID_Name WHERE Name='Podvesky, Petr';"
107,"What is the ID of the Author whose name is Riccardi, Giuseppe ?","SELECT AuthID FROM AuthID_Name WHERE Name='Riccardi, Giuseppe';"
108,"What is the ID of the Author whose name is Matveeva, Irina ?","SELECT AuthID FROM AuthID_Name WHERE Name='Matveeva, Irina';"
109,"What is the ID of the Author whose name is Correa, Nelson ?","SELECT AuthID FROM AuthID_Name WHERE Name='Correa, Nelson';"
110,"What is the ID of the Author whose name is Chen, Yan ?","SELECT AuthID FROM AuthID_Name WHERE Name='Chen, Yan';"
111,"List the Authors whose name begin with Delhay, Arna ?","SELECT AuthID FROM AuthID_Name WHERE Name='Delhay, Arna';"
112,"List the Authors whose name begin with Itoh,  ?","SELECT AuthID FROM AuthID_Name WHERE Name='Itoh, ';"
113,List the Authors whose name begin with Slavche ?,SELECT AuthID FROM AuthID_Name WHERE Name='Slavche';
114,"List the Authors whose name begin with Xi, ?","SELECT AuthID FROM AuthID_Name WHERE Name='Xi,';"
115,List the Authors whose name begin with Ga ?,SELECT AuthID FROM AuthID_Name WHERE Name='Ga';
116,List the Authors whose name begin with S ?,SELECT AuthID FROM AuthID_Name WHERE Name='S';
117,"List the Authors whose name begin with Weber, Nicol ?","SELECT AuthID FROM AuthID_Name WHERE Name='Weber, Nicol';"
118,"List the Authors whose name begin with Wu, Xi ?","SELECT AuthID FROM AuthID_Name WHERE Name='Wu, Xi';"
119,"List the Authors whose name begin with Levy, O ?","SELECT AuthID FROM AuthID_Name WHERE Name='Levy, O';"
120,List the Authors whose name begin with Kim ?,SELECT AuthID FROM AuthID_Name WHERE Name='Kim';
121,List the Authors whose name begin with M ?,SELECT AuthID FROM AuthID_Name WHERE Name='M';
122,List the Authors whose name begin with Wad ?,SELECT AuthID FROM AuthID_Name WHERE Name='Wad';
123,"List the Authors whose name begin with Dudik, Miro ?","SELECT AuthID FROM AuthID_Name WHERE Name='Dudik, Miro';"
124,"List the Authors whose name begin with Cabaleiro, Be ?","SELECT AuthID FROM AuthID_Name WHERE Name='Cabaleiro, Be';"
125,"List the Authors whose name begin with Lin,  ?","SELECT AuthID FROM AuthID_Name WHERE Name='Lin, ';"
126,"List the Authors whose name begin with Gupta, Sa ?","SELECT AuthID FROM AuthID_Name WHERE Name='Gupta, Sa';"
127,"List the Authors whose name begin with Ge, T ?","SELECT AuthID FROM AuthID_Name WHERE Name='Ge, T';"
128,List the Authors whose name begin with Jayarajan ?,SELECT AuthID FROM AuthID_Name WHERE Name='Jayarajan';
129,"List the Authors whose name begin with Zafiu, ?","SELECT AuthID FROM AuthID_Name WHERE Name='Zafiu,';"
130,List the Authors whose name begin with Li ?,SELECT AuthID FROM AuthID_Name WHERE Name='Li';
131,"List the Authors whose name begin with He, Zh ?","SELECT AuthID FROM AuthID_Name WHERE Name='He, Zh';"
132,"List the Authors whose name begin with Duan,  ?","SELECT AuthID FROM AuthID_Name WHERE Name='Duan, ';"
133,"List the Authors whose name begin with Li, Xi ?","SELECT AuthID FROM AuthID_Name WHERE Name='Li, Xi';"
134,List the Authors whose name begin with Leong ?,SELECT AuthID FROM AuthID_Name WHERE Name='Leong';
135,List the Authors whose name begin with Ya ?,SELECT AuthID FROM AuthID_Name WHERE Name='Ya';
136,"List the Authors whose name begin with Garera, ?","SELECT AuthID FROM AuthID_Name WHERE Name='Garera,';"
137,"List the Authors whose name begin with Tachibana,  ?","SELECT AuthID FROM AuthID_Name WHERE Name='Tachibana, ';"
138,List the Authors whose name begin with Alme ?,SELECT AuthID FROM AuthID_Name WHERE Name='Alme';
139,List the Authors whose name begin with Jameson ?,SELECT AuthID FROM AuthID_Name WHERE Name='Jameson';
140,List the Authors whose name begin with H ?,SELECT AuthID FROM AuthID_Name WHERE Name='H';
141,"List the Authors whose name begin with Schwartz, Han ?","SELECT AuthID FROM AuthID_Name WHERE Name='Schwartz, Han';"
142,List the Authors whose name begin with Dam ?,SELECT AuthID FROM AuthID_Name WHERE Name='Dam';
143,List the Authors whose name begin with Bli ?,SELECT AuthID FROM AuthID_Name WHERE Name='Bli';
144,"List the Authors whose name begin with Cole,  ?","SELECT AuthID FROM AuthID_Name WHERE Name='Cole, ';"
145,"List the Authors whose name begin with Kartsaklis, D ?","SELECT AuthID FROM AuthID_Name WHERE Name='Kartsaklis, D';"
146,"List the Authors whose name begin with L Homme, Marie ?","SELECT AuthID FROM AuthID_Name WHERE Name='L Homme, Marie';"
147,"List the Authors whose name begin with Nagao, Kyo ?","SELECT AuthID FROM AuthID_Name WHERE Name='Nagao, Kyo';"
148,"What are the IDs of the Authors whose name begin with Liu, ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Liu,%';"
149,"What are the IDs of the Authors whose name begin with Baroni, Pao ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Baroni, Pao%';"
150,"What are the IDs of the Authors whose name begin with Chiu, A ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Chiu, A%';"
151,"What are the IDs of the Authors whose name begin with EyigAAPz, El ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'EyigAAPz, El%';"
152,"What are the IDs of the Authors whose name begin with Kehler, A ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Kehler, A%';"
153,"What are the IDs of the Authors whose name begin with Mao, Want ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Mao, Want%';"
154,What are the IDs of the Authors whose name begin with O ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'O%';
155,"What are the IDs of the Authors whose name begin with Tamura, Noriyu ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Tamura, Noriyu%';"
156,"What are the IDs of the Authors whose name begin with Garcia, O ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Garcia, O%';"
157,What are the IDs of the Authors whose name begin with Olari ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Olari%';
158,What are the IDs of the Authors whose name begin with W ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'W%';
159,"What are the IDs of the Authors whose name begin with Thomas, Chis ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Thomas, Chis%';"
160,What are the IDs of the Authors whose name begin with Grover ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Grover%';
161,What are the IDs of the Authors whose name begin with P ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'P%';
162,"What are the IDs of the Authors whose name begin with Allen, Ba ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Allen, Ba%';"
163,"What are the IDs of the Authors whose name begin with Murata, ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Murata,%';"
164,What are the IDs of the Authors whose name begin with Jongta ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Jongta%';
165,"What are the IDs of the Authors whose name begin with Feng,  ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Feng, %';"
166,What are the IDs of the Authors whose name begin with Cu ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Cu%';
167,What are the IDs of the Authors whose name begin with Tan ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Tan%';
168,What are the IDs of the Authors whose name begin with Farka ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Farka%';
169,"What are the IDs of the Authors whose name begin with Grosjean, Fran ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Grosjean, Fran%';"
170,What are the IDs of the Authors whose name begin with Verdej ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Verdej%';
171,What are the IDs of the Authors whose name begin with Ha ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Ha%';
172,"What are the IDs of the Authors whose name begin with Moumlhrs, Chri ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Moumlhrs, Chri%';"
173,"What are the IDs of the Authors whose name begin with Meya,  ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Meya, %';"
174,"What are the IDs of the Authors whose name begin with Sakai, ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Sakai,%';"
175,What are the IDs of the Authors whose name begin with Howar ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Howar%';
176,"What are the IDs of the Authors whose name begin with Krupavicius, Al ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Krupavicius, Al%';"
177,What are the IDs of the Authors whose name begin with Shige ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Shige%';
178,"What are the IDs of the Authors whose name begin with Li,  ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Li, %';"
179,What are the IDs of the Authors whose name begin with Costel ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Costel%';
180,"What are the IDs of the Authors whose name begin with Chang, ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Chang,%';"
181,"What are the IDs of the Authors whose name begin with Leser, ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Leser,%';"
182,What are the IDs of the Authors whose name begin with Z ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Z%';
183,What are the IDs of the Authors whose name begin with Liu ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Liu%';
184,What are the IDs of the Authors whose name begin with S ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'S%';
185,How many author have name which begins with Gonz ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Gonz%';
186,How many author have name which begins with Qiu ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Qiu%';
187,"How many author have name which begins with Dermatas, Ev ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Dermatas, Ev%';"
188,How many author have name which begins with Svobodo ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Svobodo%';
189,How many author have name which begins with N ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'N%';
190,How many author have name which begins with Ni ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ni%';
191,How many author have name which begins with Ju ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ju%';
192,"How many author have name which begins with Berglund, Mar ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Berglund, Mar%';"
193,How many author have name which begins with Koirala ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Koirala%';
194,How many author have name which begins with Ferre ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ferre%';
195,How many author have name which begins with Ghasem ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ghasem%';
196,"How many author have name which begins with Kashani, Me ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Kashani, Me%';"
197,How many author have name which begins with Sik ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Sik%';
198,How many author have name which begins with Hir ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Hir%';
199,"How many author have name which begins with Molina, ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Molina,%';"
200,How many author have name which begins with Tamburin ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Tamburin%';
201,How many author have name which begins with Lue ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Lue%';
202,"How many author have name which begins with Materna, Ji ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Materna, Ji%';"
203,How many author have name which begins with Ga ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ga%';
204,"How many author have name which begins with Obradovicacute,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Obradovicacute, %';"
205,How many author have name which begins with Vishwan ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Vishwan%';
206,"How many author have name which begins with Nagata, Ju ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Nagata, Ju%';"
207,How many author have name which begins with Poesi ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Poesi%';
208,How many author have name which begins with Grana ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Grana%';
209,How many author have name which begins with Amir ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Amir%';
210,"How many author have name which begins with Kongyoung, Sarawo ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Kongyoung, Sarawo%';"
211,"How many author have name which begins with Hwa, Rebe ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Hwa, Rebe%';"
212,"How many author have name which begins with Nasir, Jam ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Nasir, Jam%';"
213,How many author have name which begins with B ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'B%';
214,How many author have name which begins with Hayw ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Hayw%';
215,"How many author have name which begins with Shein,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Shein, %';"
216,"How many author have name which begins with Liu, FuH ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Liu, FuH%';"
217,How many author have name which begins with K ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'K%';
218,How many author have name which begins with Me ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Me%';
219,"How many author have name which begins with Garrido,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Garrido, %';"
220,How many author have name which begins with Jos ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Jos%';
221,How many author have name which begins with Q ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Q%';
222,"How many author have name which contains with , Minh ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%, Minh%';"
223,"How many author have name which contains with , Hartm ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%, Hartm%';"
224,"How many author have name which contains with r, Ma ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%r, Ma%';"
225,"How many author have name which contains with ukhin, Mik ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%ukhin, Mik%';"
226,"How many author have name which contains with ins, C ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%ins, C%';"
227,"How many author have name which contains with , J ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%, J%';"
228,"How many author have name which contains with iu, H ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%iu, H%';"
229,How many author have name which contains with mad ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%mad%';
230,"How many author have name which contains with uang,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%uang, %';"
231,"How many author have name which contains with and, Dav ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%and, Dav%';"
232,"How many author have name which contains with i, N ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%i, N%';"
233,How many author have name which contains with er ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%er%';
234,"How many author have name which contains with lenius,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%lenius, %';"
235,"How many author have name which contains with , Zh ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%, Zh%';"
236,"How many author have name which contains with ne,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%ne, %';"
237,"How many author have name which contains with oni, A ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%oni, A%';"
238,How many author have name which contains with   ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '% %';
239,"How many author have name which contains with re, Ship ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%re, Ship%';"
240,"How many author have name which contains with ooseph, Sh ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%ooseph, Sh%';"
241,"How many author have name which contains with z, Um ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%z, Um%';"
